Date,Value
2005.01.01,2490,7
2005.02.01,2636,7
2005.03.01,3223,3
2005.04.01,3032,0
2005.05.01,2791,8
2005.06.01,2829,4
2005.07.01,2763,7
2005.08.01,2683,3
2005.09.01,2808,8
2005.10.01,2923,5
2005.11.01,2956,2
2005.12.01,3089,0
2006.01.01,2337,2
2006.02.01,2583,3
2006.03.01,3144,7
2006.04.01,2870,9
2006.05.01,3114,1
2006.06.01,3344,8
2006.07.01,3351,2
2006.08.01,3514,0
2006.09.01,3673,2
2006.10.01,3472,7
2006.11.01,3352,6
2006.12.01,3609,1
2007.01.01,3212,5
2007.02.01,3411,2
2007.03.01,4109,0
2007.04.01,4062,7
2007.05.01,4092,9
2007.06.01,4242,8
2007.07.01,4261,9
2007.08.01,4176,1
2007.09.01,4122,0
2007.10.01,4347,3
2007.11.01,4453,4
2007.12.01,4804,3
2008.01.01,3664,8
2008.02.01,4701,2
2008.03.01,5451,3
2008.04.01,5580,5
2008.05.01,6305,4
2008.06.01,6891,5
2008.07.01,7654,0
2008.08.01,6657,6
2008.09.01,6666,3
2008.10.01,5625,8
2008.11.01,3711,0
2008.12.01,4057,9
2009.01.01,2437,1
2009.02.01,2692,5
2009.03.01,3168,8
2009.04.01,3070,3
2009.05.01,2911,4
2009.06.01,3019,8
2009.07.01,3210,0
2009.08.01,3201,9
2009.09.01,3738,4
2009.10.01,4120,6
2009.11.01,3968,6
2009.12.01,4156,3
2010.01.01,3008,0
2010.02.01,3372,0
2010.03.01,3944,8
2010.04.01,4206,7
2010.05.01,4194,2
2010.06.01,4328,6
2010.07.01,4241,0
2010.08.01,4249,5
2010.09.01,4699,7
2010.10.01,4740,7
2010.11.01,5128,8
2010.12.01,5291,2
2011.01.01,4652,8
2011.02.01,4691,0
2011.03.01,6004,2
2011.04.01,5603,8
2011.05.01,5697,4
2011.06.01,6156,7
2011.07.01,5355,3
2011.08.01,5781,2
2011.09.01,5964,4
2011.10.01,5753,9
2011.11.01,6262,3
2011.12.01,6471,2
2012.01.01,5324,8
2012.02.01,4957,7
2012.03.01,5875,7
2012.04.01,5795,0
2012.05.01,6239,1
2012.06.01,5473,4
2012.07.01,5755,1
2012.08.01,5835,7
2012.09.01,5766,5
2012.10.01,6244,2
2012.11.01,5951,1
2012.12.01,5591,5
2013.01.01,5004,8
2013.02.01,5110,5
2013.03.01,5124,5
2013.04.01,5771,7
2013.05.01,4906,9
2013.06.01,4796,9
2013.07.01,5203,8
2013.08.01,5198,8
2013.09.01,5164,7
2013.10.01,5582,0
2013.11.01,5567,1
2013.12.01,5889,0
2014.01.01,4335,5
2014.02.01,4668,7
2014.03.01,5048,4
2014.04.01,5065,4
2014.05.01,4983,2
2014.06.01,4418,1
2014.07.01,4751,1
2014.08.01,4225,2
2014.09.01,4295,9
2014.10.01,4177,3
2014.11.01,3975,8
2014.12.01,3957,1
2015.01.01,2998,0
2015.02.01,2998,2
2015.03.01,3478,9
2015.04.01,3081,0
2015.05.01,2918,8
2015.06.01,3146,9
2015.07.01,3215,3
2015.08.01,3122,9
2015.09.01,3391,9
2015.10.01,3270,3
2015.11.01,3148,8
2015.12.01,3356,1
2016.01.01,2042,3
2016.02.01,2682,4
2016.03.01,2992,2
2016.04.01,3095,3
2016.05.01,2879,2
2016.06.01,2930,9
2016.07.01,2918,8
2016.08.01,3176,4
2016.09.01,3155,2
2016.10.01,3238,2
2016.11.01,3621,7
2016.12.01,3629,1
2017.01.01,3014,5
2017.02.01,3241,4
2017.03.01,4111,3
2017.04.01,3330,7
2017.05.01,3545,2
2017.06.01,3402,5
2017.07.01,3198,1
2017.08.01,3665,9
2017.09.01,3813,7
2017.10.01,3857,4
2017.11.01,4166,8
2017.12.01,3917,2
2018.01.01,3723.0
2018.02.01,3651.6
2018.03.01,4054.9
2018.04.01,4013.4
2018.05.01,4012.6
2018.06.01,3797.5
2018.07.01,3617.3
2018.08.01,4035.8
2018.09.01,3641.7
2018.10.01,4245.3
2018.11.01,4446.2
2018.12.01,4095.7
