DateFrom,DateTo,Value
2010.01.01,2010.03.31,217074
2010.04.01,2010.06.30,255545
2010.07.01,2010.09.30,300446
2010.10.01,2010.12.31,306281
2011.01.01,2011.03.31,258591
2011.04.01,2011.06.30,310277
2011.07.01,2011.09.30,368488
2011.10.01,2011.12.31,362635
2012.01.01,2012.03.31,292324
2012.04.01,2012.06.30,346005
2012.07.01,2012.09.30,387109
2012.10.01,2012.12.31,379231
2013.01.01,2013.03.31,303753
2013.04.01,2013.06.30,354814
2013.07.01,2013.09.30,398000
2013.10.01,2013.12.31,408631
2014.01.01,2014.03.31,316905
2014.04.01,2014.06.30,382391
2014.07.01,2014.09.30,440476
2014.10.01,2014.12.31,447143
2015.01.01,2015.03.31,375991
2015.04.01,2015.06.30,456715
2015.07.01,2015.09.30,566997
2015.10.01,2015.12.31,588841
2016.01.01,2016.03.31,455298
2016.04.01,2016.06.30,535701
2016.07.01,2016.09.30,671456
2016.10.01,2016.12.31,722912
2017.01.01,2017.03.31,592523
2017.04.01,2017.06.30,665233
2017.07.01,2017.09.30,834287
2017.10.01,2017.12.31,891839
2018.01.01,2018.03.31,705013
2018.04.01,2018.06.30,810820
2018.07.01,2018.09.30,994850
2018.10.01,2018.12.31,1048023
2019.01.01,2019.03.31,807755
2019.04.01,2019.06.30,927773
2019.07.01,2019.09.30,1105520
